"cdlinha","cdlinhapai","nulinha","deorigem","dedestino","dedescricao","slic","nupermissionarios","delinhaoutorga","delinhaservico","declassificacaoveiculo","derazaosocial","decnpjmatriz","boativo"
704,,"297.CAR",SALVADOR,MARAGOGIPE,"297.CAR - SALVADOR - MARAGOGIPE",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL COM AR-CONDICIONADO,VIACAO JAUA LTDA,"01767998000117",true
1544,,"840A.URB",LOTEAMENTO MIRAGEM,TERMINAL AEROPORTO,"840A.URB - LOTEAMENTO MIRAGEM - TERMINAL AEROPORTO",,,CONTRATO DE CONCESSÃO,ADICIONAL,SEMIURBANO,EXPRESSO LUXO VITORIA LTDA,"10550441000110",true
987,,"457",ITABUNA,PORTO SEGURO,"457 - ITABUNA - PORTO SEGURO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO ÁGUIA BRANCA S/A,"27486182000109",true
379,,"165A2",SALVADOR,ELÍSIO MEDRADO,"165A2 - SALVADOR - ELÍSIO MEDRADO VIA CASTRO ALVES / BR-101",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
318,,"138",SALVADOR,PRAIA DO FORTE,"138 - SALVADOR - PRAIA DO FORTE",,,CONTRATO EMERGENCIAL,CONTRATADO,COMERCIAL,ATLANTICO TRANSPORTES LTDA,"08380889000191",true
260,,"108.EXE",JEQUIÉ,ITABUNA,"108.EXE - JEQUIÉ - ITABUNA VIA BR101",,,CONTRATO DE CONCESSÃO - TAC,DIFERENCIADO,EXECUTIVO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
695,,"295",SALVADOR,ITABERABA,"295 - SALVADOR - ITABERABA VIA ARGOIM",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1319,,"624A",SALVADOR,SÍTIO DO CONDE,"624A - SALVADOR - SÍTIO DO CONDE VIA BA099",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,ATLANTICO TRANSPORTES LTDA,"08380889000191",true
983,,"454",SALVADOR,BARRA,"454 - SALVADOR - BARRA VIA BR242",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,RAPIDO FEDERAL VIACAO LIMITADA,"25634569000130",true
720,,"305A",SALVADOR,BIRITINGA,"305A - SALVADOR - BIRITINGA VIA PATAÍBA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
424,,"189",SALVADOR,FLORESTA AZUL,"189 - SALVADOR - FLORESTA AZUL VIA ITABUNA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO ÁGUIA BRANCA S/A,"27486182000109",true
1635,,"869I.URB",SIMÕES FILHO,TERMINAL RETIRO,"869I.URB - SIMÕES FILHO - TERMINAL RETIRO",,,CONTRATO DE CONCESSÃO,ADICIONAL,SEMIURBANO,EXPRESSO METROPOLITANO TRANSPORTES LTDA,"07617476000115",true
319,,"138.EXE",SALVADOR,PRAIA DO FORTE,"138.EXE - SALVADOR - PRAIA DO FORTE",,,CONTRATO EMERGENCIAL,CONTRATADO,EXECUTIVO,ATLANTICO TRANSPORTES LTDA,"08380889000191",true
134,,"061",SALVADOR,ALAGOINHAS,"061 - SALVADOR - ALAGOINHAS VIA CATU",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1887,,"913.URB",ILHA DE SÃO JOÃO,TERMINAL PITUAÇU,"913.URB - ILHA DE SÃO JOÃO - TERMINAL PITUAÇU VIA AV SUBURBANA E AV GAL COSTA",,,CONTRATO DE CONCESSÃO,CONTRATADO,SEMIURBANO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
698,,"295A.EXE",SALVADOR,RUY BARBOSA,"295A.EXE - SALVADOR - RUY BARBOSA VIA ITABERABA",,,CONTRATO DE CONCESSÃO - TAC,DIFERENCIADO,EXECUTIVO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1690,,"890.URB",VIDA NOVA,PRAIA DO FLAMENGO,"890.URB - VIDA NOVA - PRAIA DO FLAMENGO VIA ITINGA/ ITAPUÃ",,,AUTORIZAÇÃO JUDICIAL,,SEMIURBANO,COOP. MISTA DE TRANSP. COL. ROD. E TUR. DA REG.METROPOLITANA,"05822582000105",true
450,,"194E",SALVADOR,ITABUNA,"194E - SALVADOR - ITABUNA VIA BR101",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,COMPANHIA VIACAO SUL BAHIANO,"14345706000108",true
1532,,"835.URB", PASSÉ (DIST CANDEIAS),CALÇADA,"835.URB -  PASSÉ (DIST CANDEIAS) - CALÇADA VIA SUBURBANA",,,AUTORIZAÇÃO,CONTRATADO,SEMIURBANO,CASTTUR AGÊNCIA OPERADORA DE TURISMO E TRANSPORTES LTDA,"07405588000102",true
807,,"349R",BOM JESUS DA LAPA,SANTA MARIA DA VITÓRIA,"349R - BOM JESUS DA LAPA - SANTA MARIA DA VITÓRIA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
400,,"176",ITABUNA, FLORESTA AZUL,"176 - ITABUNA - FLORESTA AZUL",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
1306,,"616.UMIC",CAMACAN,SANTA LUZIA,"616.UMIC - CAMACAN - SANTA LUZIA VIA VARGITO",,,CONTRATO DE CONCESSÃO,DIFERENCIADO,MICRO COMERCIAL,A FURLAN EIRELI,"13558887000180",true
679,,"285.MIC",FEIRA DE SANTANA,SÃO FÉLIX,"285.MIC - FEIRA DE SANTANA - SÃO FÉLIX VIA MAGALHÃES",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,MICRO COMERCIAL,EMPRESAS DE TRANSPORTES SANTANA E SAO PAULO LTDA,"14078166000135",true
760,,"327A3",SALVADOR,SANTA INÊS,"327A3 - SALVADOR - SANTA INÊS VIA MUTUÍPE",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
337,,"146A.EXE",SALVADOR,BOM JESUS DA LAPA,"146A.EXE - SALVADOR - BOM JESUS DA LAPA VIA IBOTIRAMA/ SÍTIO DO MATO",,,CONTRATO DE CONCESSÃO - TAC,DIFERENCIADO,EXECUTIVO,RAPIDO FEDERAL VIACAO LIMITADA,"25634569000130",true
1895,,"2310",SERRA DOURADA,SANTANA,"2310 - SERRA DOURADA - SANTANA",true,4,TERMO DE PERMISSÃO,CONTRATADO,COMERCIAL,,,true
1691,,"890A.URB",PARQUE SÃO PAULO,PRAIA DO FLAMENGO,"890A.URB - PARQUE SÃO PAULO - PRAIA DO FLAMENGO VIA ITAPUÃ",,,AUTORIZAÇÃO JUDICIAL,,SEMIURBANO,COOP. MISTA DE TRANSP. COL. ROD. E TUR. DA REG.METROPOLITANA,"05822582000105",true
1422,,"732",ALAGOINHAS,NOVA SOURE,"732 - ALAGOINHAS - NOVA SOURE VIA SÁTIRO DIAS",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,JOSE AGUINELO DE SANTANA FILHO  - EIRELI,"00792706000133",true
765,,"328.ESL",SALVADOR,IRECÊ,"328.ESL - SALVADOR - IRECÊ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,SEMILEITO EXECUTIVO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1222,,"579A",BOM DESPACHO,MARAÚ,"579A - BOM DESPACHO - MARAÚ VIA BA001",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
617,,"255.CAR",SALVADOR,PARIPIRANGA,"255.CAR - SALVADOR - PARIPIRANGA VIA ALAGOINHAS",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL COM AR-CONDICIONADO,VIACAO REGIONAL S/A,"01476325000108",true
221,,"094A",SALVADOR,URANDI,"094A - SALVADOR - URANDI VIA GUANAMBI",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
1021,,"478",FEIRA DE SANTANA,CONDE,"478 - FEIRA DE SANTANA - CONDE VIA BR 101",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,MARTE TRANSPORTES LTDA,"08374919000157",true
1411,,"715",RIO REAL,FEIRA DE SANTANA,"715 - RIO REAL - FEIRA DE SANTANA, VIA ACAJUTIBA",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,TRANSOARES TRANSPORTES URBANOS LTDA,"01125308000126",true
371,,"161",SALVADOR,CONCEIÇÃO DO JACUÍPE,"161 - SALVADOR - CONCEIÇÃO DO JACUÍPE",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
798,,"345",SANTA MARIA DA VITÓRIA,COCOS,"345 - SANTA MARIA DA VITÓRIA - COCOS",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
1881,,"2305",INHAÚMAS (DIST SANTA MARIA DA VITÓRIA),CORRENTINA,"2305 - INHAÚMAS (DIST SANTA MARIA DA VITÓRIA) - CORRENTINA",true,6,TERMO DE PERMISSÃO,CONTRATADO,COMERCIAL,,,true
108,,"053R2.MIC",VITÓRIA DA CONQUISTA,POÇÕES,"053R2.MIC - VITÓRIA DA CONQUISTA - POÇÕES",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,MICRO COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
477,,"207",ITABUNA,BRUMADO,"207 - ITABUNA - BRUMADO VIA ITAPETINGA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIACAO SALUTARIS E TURISMO S/A,"32285454000142",true
236,,"101.ESL",SALVADOR,VITÓRIA DA CONQUISTA,"101.ESL - SALVADOR - VITÓRIA DA CONQUISTA VIA BR 116",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,SEMILEITO EXECUTIVO,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
367,,"158A.EXE",SALVADOR,BOM JESUS DOS POBRES,"158A.EXE - SALVADOR - BOM JESUS DOS POBRES VIA SANTO AMARO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,EXECUTIVO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
927,,"420",ITABUNA,GUARATINGA,"420 - ITABUNA - GUARATINGA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
1017,,"475E",SALVADOR,WAGNER,"475E - SALVADOR - WAGNER",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
830,,"364A.LEI",SALVADOR,SANTA MARIA DA VITÓRIA,"364A.LEI - SALVADOR - SANTA MARIA DA VITÓRIA VIA BR 242",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,LEITO SEM AR-CONDICIONADO,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
385,,"169",SALVADOR,SÃO FELIPE,"169 - SALVADOR - SÃO FELIPE VIA BR 101",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,RD TURISMO TRANSPORTES RODOVIÁRIOS LTDA,"00500618000110",true
1349,,"644",BOM DESPACHO,JEQUIÉ,"644 - BOM DESPACHO - JEQUIÉ VIA BA 001 / UBATÃ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
641,,"263",SALVADOR,ABARÉ,"263 - SALVADOR - ABARÉ VIA BR116",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,MARTE TRANSPORTES LTDA,"08374919000157",true
564,,"236",FEIRA DE SANTANA,SERRINHA,"236 - FEIRA DE SANTANA - SERRINHA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,PLENNA TRANSPORTES E SERVIÇOS LTDA,"16496572000143",true
346,,"147A2",SALVADOR,FORMOSA DO RIO PRETO,"147A2 - SALVADOR - FORMOSA DO RIO PRETO VIA BARREIRAS",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,RAPIDO FEDERAL VIACAO LIMITADA,"25634569000130",true
1359,,"647.EXE",BOM DESPACHO,PORTO SEGURO,"647.EXE - BOM DESPACHO - PORTO SEGURO VIA BA001",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO ÁGUIA BRANCA S/A,"27486182000109",true
27,,"018.CAR",SALVADOR,AMARGOSA,"018.CAR - SALVADOR - AMARGOSA VIA BR 101",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL COM AR-CONDICIONADO,VIACAO JAUA LTDA,"01767998000117",true
1093,,"520A2.MEX",SALVADOR,RIBEIRA DO AMPARO,"520A2.MEX - SALVADOR - RIBEIRA DO AMPARO VIA CIPÓ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,MICRO EXECUTIVO,VIACAO REGIONAL S/A,"01476325000108",true
794,,"342",EUNÁPOLIS,BELMONTE,"342 - EUNÁPOLIS - BELMONTE via ITAPEBI",,,CONTRATO DE CONCESSÃO - TAC,CONTRATADO - TAC,COMERCIAL,EXPRESSO BRASILEIRO TRANSPORTES LTDA,"13406285000107",true
1459,,"800.EXE",SALVADOR,CAMAÇARI ,"800.EXE - SALVADOR - CAMAÇARI VIA BR 324",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,EXECUTIVO,VIACAO REGIONAL S/A,"01476325000108",true
1850,,"2258",VITÓRIA DA CONQUISTA,VILA BAHIA (POV ENCRUZILHADA),"2258 - VITÓRIA DA CONQUISTA - VILA BAHIA (POV ENCRUZILHADA) VIA INHOBIM",true,7,TERMO DE PERMISSÃO,CONTRATADO,COMERCIAL,,,true
819,,"357X",PORTO SEGURO,ITAPEBI,"357X - PORTO SEGURO - ITAPEBI",,,CONTRATO DE CONCESSÃO - TAC,CONTRATADO - TAC,COMERCIAL,EXPRESSO BRASILEIRO TRANSPORTES LTDA,"13406285000107",true
1124,,"537.EXP",SALVADOR,UBATÃ,"537.EXP - SALVADOR - UBATÃ VIA IBIRATAIA",,,TERMO DE PERMISSÃO,DIFERENCIADO,EXPRESSO,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
493,,"215",ITABUNA, SÃO JOÃO DO PARAÍSO,"215 - ITABUNA - SÃO JOÃO DO PARAÍSO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
1866,,"2308",GUANAMBI,FEIRINHA (POV CARINHANHA),"2308 - GUANAMBI - FEIRINHA (POV CARINHANHA)",true,1,TERMO DE PERMISSÃO,CONTRATADO,COMERCIAL,,,true
474,,"205",ITABUNA,ITAJU DO COLÔNIA,"205 - ITABUNA - ITAJU DO COLÔNIA VIA ITAPÉ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
451,,"195",SALVADOR,RIO DE CONTAS,"195 - SALVADOR - RIO DE CONTAS",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
762,,"328",SALVADOR,IRECÊ,"328 - SALVADOR - IRECÊ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
856,,"380",ITABUNA,IBIRATAIA,"380 - ITABUNA - IBIRATAIA VIA BR101",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
273,,"112X",JEQUIÉ,ITACARÉ,"112X - JEQUIÉ - ITACARÉ VIA TABOQUINHA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1835,,"2148",JUAZEIRO,CURAÇÁ,"2148 - JUAZEIRO - CURAÇÁ",true,20,TERMO DE PERMISSÃO,CONTRATADO,MICRO COMERCIAL,,,true
1834,,"2139",SENHOR DO BONFIM,POVOADO DE PIAUS,"2139 - SENHOR DO BONFIM - POVOADO DE PIAUS VIA ANDORINHA",true,1,TERMO DE PERMISSÃO,CONTRATADO,MICRO COMERCIAL,,,true
913,,"415",LARGO DA CALÇADA,PORTO DE SAUÍPE,"415 - LARGO DA CALÇADA - PORTO DE SAUÍPE",,,CONTRATO EMERGENCIAL,CONTRATADO,COMERCIAL,ATLANTICO TRANSPORTES LTDA,"08380889000191",true
929,,"421.CAR",SALVADOR,TEIXEIRA DE FREITAS,"421.CAR - SALVADOR - TEIXEIRA DE FREITAS",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO ÁGUIA BRANCA S/A,"27486182000109",true
229,,"098I",VITÓRIA DA CONQUISTA,MORTUGABA,"098I - VITÓRIA DA CONQUISTA - MORTUGABA VIA MAETINGA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
247,,"104",SALVADOR,CÂNDIDO SALES,"104 - SALVADOR - CÂNDIDO SALES",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
1567,,"846A.URB",PRAIA DE IPITANGA,VALE DOS BARRIS,"846A.URB - PRAIA DE IPITANGA - VALE DOS BARRIS VIA AV AMARÍLIO TIAGO DOS SANTOS",,,TERMO DE PERMISSÃO,ADICIONAL,SEMIURBANO,EMPRESA DE TRANSPORTES COSTA VERDE LTDA,"02510563000155",true
1481,,"805A.URB",MADRE DE DEUS,TERMINAL RETIRO,"805A.URB - MADRE DE DEUS - TERMINAL RETIRO",,,AUTORIZAÇÃO,ADICIONAL,SEMIURBANO,CASTTUR AGÊNCIA OPERADORA DE TURISMO E TRANSPORTES LTDA,"07405588000102",true
818,,"357",EUNÁPOLIS,ITAPEBI,"357 - EUNÁPOLIS - ITAPEBI",,,CONTRATO DE CONCESSÃO - TAC,CONTRATADO - TAC,COMERCIAL,EXPRESSO BRASILEIRO TRANSPORTES LTDA,"13406285000107",true
1412,,"715E",FEIRA DE SANTANA,ACAJUTIBA,"715E - FEIRA DE SANTANA - ACAJUTIBA",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,TRANSOARES TRANSPORTES URBANOS LTDA,"01125308000126",true
20,,"012R",MEDEIROS NETO,ITANHÉM,"012R - MEDEIROS NETO - ITANHÉM",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO ÁGUIA BRANCA S/A,"27486182000109",true
14,,"010.EXE",ITABUNA,BOM JESUS DA LAPA,"010.EXE - ITABUNA - BOM JESUS DA LAPA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,EXECUTIVO,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
1681,,"886.URB",JAUÁ,ITAPUÃ,"886.URB - JAUÁ - ITAPUÃ",,,CONTRATO DE CONCESSÃO,CONTRATADO,SEMIURBANO,EXPRESSO LUXO VITORIA LTDA,"10550441000110",true
601,,"250A",VITÓRIA DA CONQUISTA,BARRA DO MENDES,"250A - VITÓRIA DA CONQUISTA - BARRA DO MENDES VIA BONINAL",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
1800,,"2002",ALAGOINHAS,ENTRONC SÁTIRO DIAS,"2002 -	ALAGOINHAS - ENTRONC  SÁTIRO DIAS",true,2,TERMO DE PERMISSÃO,CONTRATADO,MICRO COMERCIAL,,,true
803,,"349",BOM JESUS DA LAPA,SANTA MARIA DA VITÓRIA,"349 - BOM JESUS DA LAPA - SANTA MARIA DA VITÓRIA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
330,,"145.EXE",SALVADOR,SEABRA,"145.EXE - SALVADOR - SEABRA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,EXECUTIVO,RAPIDO FEDERAL VIACAO LIMITADA,"25634569000130",true
127,,"059",SALVADOR,CATU,"059 - SALVADOR - CATU VIA BA093",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
343,,"147A",SALVADOR,LUIS EDUARDO MAGALHÃES,"147A - SALVADOR - LUIS EDUARDO MAGALHÃES VIA BARREIRAS",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,RAPIDO FEDERAL VIACAO LIMITADA,"25634569000130",true
322,,"139",ITABUNA,BARRO PRETO,"139 - ITABUNA - BARRO PRETO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
19,,"012.ESL",SALVADOR,ITANHÉM,"012.ESL - SALVADOR - ITANHÉM VIA BR101",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,SEMILEITO EXECUTIVO,VIAÇÃO ÁGUIA BRANCA S/A,"27486182000109",true
1677,,"885E.URB",TERMINAL AEROPORTO,OUTLET PREMIUM,"885E.URB - TERMINAL AEROPORTO - OUTLET PREMIUM VIA BA099",,,AUTORIZAÇÃO,ADICIONAL,SEMIURBANO,EXPRESSO LUXO VITORIA LTDA,"10550441000110",true
1298,,"610",UBAITABA,CAMPINHOS,"610 - UBAITABA - CAMPINHO VIA MARAÚ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO CAMPO VERDE TRANSPORTE E TURISMO LTDA,"07101420000103",true
1883,,"2318",BOM JESUS DA LAPA,AGROVILA XXIII (CARINHANHA),"2318 - BOM JESUS DA LAPA - AGROVILA XXIII (CARINHANHA)",true,2,TERMO DE PERMISSÃO,CONTRATADO,COMERCIAL,,,true
1156,,"552.EXE",BOM DESPACHO,SALINAS DA MARGARIDA,"552.EXE - BOM DESPACHO - SALINAS DA MARGARIDA",,,CONTRATO DE CONCESSÃO - TAC,DIFERENCIADO,EXECUTIVO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
420,,"187R",BRUMADO,CAETITÉ,"187R - BRUMADO - CAETITÉ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
356,,"153",SALVADOR,SAUBARA,"153 - SALVADOR - SAUBARA VIA ACUPE",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1336,,"634",MACARANI,RIBEIRÃO DO LARGO,"634 - MACARANI - RIBEIRÃO DO LARGO VIA VILA DO CAFÉ",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
999,,"466",BARREIRAS,SÃO JOSÉ (POV BURITIRAMA),"466 - BARREIRAS - SÃO JOSÉ (POV BURITIRAMA)",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,EMTRAM EMPRESA DE TRANSPORTES MACAUBENSE LTDA,"16041592000120",true
208,,"087E.CAR",SALVADOR,ITABERABA,"087E.CAR - SALVADOR - ITABERABA VIA IPIRÁ / BA488",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL COM AR-CONDICIONADO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1535,,"836A2.URB",CAMAÇARI,SANTO AMARO,"836A2.URB - CAMAÇARI - SANTO AMARO VIA SÃO FRANCISCO DO CONDE",,,CONTRATO EMERGENCIAL,ADICIONAL,SEMIURBANO,AVANCO TRANSPORTES E TURISMO EIRELI,"34732379000146",true
1038,,"488",FEIRA DE SANTANA,GANDU,"488 - FEIRA DE SANTANA - GANDU VIA BR101",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,SEMIURBANO,VIAÇÃO ÁGUIA BRANCA S/A,"27486182000109",true
1864,,"2206",BOM JESUS DA LAPA,AGROVILA XII (SERRA DO RAMALHO),"2206 - BOM JESUS DA LAPA - AGROVILA XII (SERRA DO RAMALHO)",true,2,TERMO DE PERMISSÃO,CONTRATADO,COMERCIAL,,,true
637,,"261",SENHOR DO BONFIM,CAMPO FORMOSO,"261 - SENHOR DO BONFIM - CAMPO FORMOSO",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
186,,"080I",ITABUNA,LAGOA REDONDA,"080I - ITABUNA - LAGOA REDONDA VIA BR116 / BR101",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1899,,"2321",BARREIRAS,MANSIDÃO,"2321 - BARREIRAS - MANSIDÃO",true,1,TERMO DE PERMISSÃO,CONTRATADO,COMERCIAL,,,true
44,,"025",JACOBINA,ITABERABA,"025 - JACOBINA - ITABERABA VIA PIRITIBA",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,TRANSOARES TRANSPORTES URBANOS LTDA,"01125308000126",true
223,,"094A3",SALVADOR,SEBASTIÃO LARANJEIRAS,"094A3 - SALVADOR - SEBASTIÃO LARANJEIRAS VIA GUANAMBI",,,CONTRATO DE CONCESSÃO - TAC,ADICIONAL,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
904,,"411R2",ITABERABA,IRAMAIA,"411R2 - ITABERABA - IRAMAIA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1419,,"724",ALAGOINHAS,BAIXIO,"724 - ALAGOINHAS - BAIXIO VIA PALAME",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,JOSE AGUINELO DE SANTANA FILHO  - EIRELI,"00792706000133",true
1545,,"840I.URB",TERMINAL AEROPORTO,VILAS DO ATLÂNTICO,"840I.URB - TERMINAL AEROPORTO – VILAS DO ATLÂNTICO VIA SOLAR DE VILAS",,,,ADICIONAL,SEMIURBANO,EXPRESSO LUXO VITORIA LTDA,"10550441000110",true
1142,,"546I",SALVADOR,ENCRUZILHADA,"546I - SALVADOR - ENCRUZILHADA VIA INHOBIM",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
