"cdlinha","cdlinhapai","nulinha","deorigem","dedestino","dedescricao","slic","nupermissionarios","delinhaoutorga","delinhaservico","declassificacaoveiculo","derazaosocial","decnpjmatriz","boativo"
1044,,"492A",VITÓRIA DA CONQUISTA,ABÓBORA,"492A - VITÓRIA DA CONQUISTA - ABÓBORA VIA CAETANOS",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
811,,"352.CAR",SALVADOR,CASTRO ALVES,"352.CAR - SALVADOR - CASTRO ALVES VIA BR 116",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL COM AR-CONDICIONADO,AUTO VIAÇÃO CAMURUJIPE LTDA,"15890809000103",true
304,,"129.EXE",SALVADOR,PIRITIBA,"129.EXE - SALVADOR - PIRITIBA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,EXECUTIVO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
584,,"243A",SEABRA,JUSSARA,"243A - SEABRA - JUSSARA VIA IRECÊ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,EMTRAM EMPRESA DE TRANSPORTES MACAUBENSE LTDA,"16041592000120",true
1356,,"646",BOM DESPACHO, CAIRU,"646 - BOM DESPACHO - CAIRU VIA BA001",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
751,,"323",SALVADOR,BRUMADO,"323 - SALVADOR - BRUMADO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
1248,,"592A",XIQUE-XIQUE,VISTA ALEGRE,"592A - XIQUE-XIQUE - VISTA ALEGRE VIA DIVISA-BA/TO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,EMTRAM EMPRESA DE TRANSPORTES MACAUBENSE LTDA,"16041592000120",true
1441,,"758.URB",ARAÇÁS,ITANAGRA,"758.URB - ARAÇÁS - ITANAGRA",,,CONTRATO DE CONCESSÃO,CONTRATADO,SEMIURBANO,JOSE AGUINELO DE SANTANA FILHO  - EIRELI,"00792706000133",true
1362,,"650",BARREIRAS,SANTA RITA DE CÁSSIA,"650 - BARREIRAS - SANTA RITA DE CÁSSIA VIA RIACHÃO DAS NEVES",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
788,,"338R",MONTE PASCOAL,ITAMARAJU,"338R - MONTE PASCOAL - ITAMARAJU",,,CONTRATO DE CONCESSÃO - TAC,CONTRATADO - TAC,COMERCIAL,EXPRESSO BRASILEIRO TRANSPORTES LTDA,"13406285000107",true
