"cdlinhaquadrohorario","cdlinha","cdlinhaquadrohorariohora","desentido","dediasemana","hrhorario"
7007,1806,388654,VOLTA,SEX,11:40:00 -0300
7007,1806,388655,VOLTA,SAB,11:40:00 -0300
7007,1806,388656,VOLTA,DOM,11:40:00 -0300
7007,1806,388657,IDA,SEG,13:40:00 -0300
7007,1806,388658,IDA,TER,13:40:00 -0300
7007,1806,388659,IDA,QUA,13:40:00 -0300
7007,1806,388660,IDA,QUI,13:40:00 -0300
7007,1806,388661,IDA,SEX,13:40:00 -0300
7007,1806,388662,IDA,SAB,13:40:00 -0300
7007,1806,388663,IDA,DOM,13:40:00 -0300
7007,1806,388664,VOLTA,SEG,12:20:00 -0300
7007,1806,388665,VOLTA,TER,12:20:00 -0300
7007,1806,388666,VOLTA,QUA,12:20:00 -0300
7007,1806,388667,VOLTA,QUI,12:20:00 -0300
7007,1806,388668,VOLTA,SEX,12:20:00 -0300
7007,1806,388669,VOLTA,SAB,12:20:00 -0300
7007,1806,388670,VOLTA,DOM,12:20:00 -0300
7007,1806,388671,IDA,SEG,14:20:00 -0300
7007,1806,388672,IDA,TER,14:20:00 -0300
7007,1806,388673,IDA,QUA,14:20:00 -0300
7007,1806,388674,IDA,QUI,14:20:00 -0300
7007,1806,388675,IDA,SEX,14:20:00 -0300
7007,1806,388676,IDA,SAB,14:20:00 -0300
7007,1806,388677,IDA,DOM,14:20:00 -0300
7007,1806,388678,VOLTA,SEG,13:00:00 -0300
7007,1806,388679,VOLTA,TER,13:00:00 -0300
7007,1806,388680,VOLTA,QUA,13:00:00 -0300
7007,1806,388681,VOLTA,QUI,13:00:00 -0300
7007,1806,388682,VOLTA,SEX,13:00:00 -0300
7007,1806,388683,VOLTA,SAB,13:00:00 -0300
7007,1806,388684,VOLTA,DOM,13:00:00 -0300
7007,1806,388685,IDA,SEG,15:00:00 -0300
7007,1806,388686,IDA,TER,15:00:00 -0300
7007,1806,388687,IDA,QUA,15:00:00 -0300
7007,1806,388688,IDA,QUI,15:00:00 -0300
7007,1806,388689,IDA,SEX,15:00:00 -0300
7007,1806,388690,IDA,SAB,15:00:00 -0300
7007,1806,388691,IDA,DOM,15:00:00 -0300
7007,1806,388692,VOLTA,SEG,13:40:00 -0300
7007,1806,388693,VOLTA,TER,13:40:00 -0300
7007,1806,388694,VOLTA,QUA,13:40:00 -0300
7007,1806,388695,VOLTA,QUI,13:40:00 -0300
7007,1806,388696,VOLTA,SEX,13:40:00 -0300
7007,1806,388697,VOLTA,SAB,13:40:00 -0300
7007,1806,388698,VOLTA,DOM,13:40:00 -0300
7007,1806,388699,IDA,SEG,15:40:00 -0300
7007,1806,388700,IDA,TER,15:40:00 -0300
7007,1806,388701,IDA,QUA,15:40:00 -0300
7007,1806,388702,IDA,QUI,15:40:00 -0300
7007,1806,388703,IDA,SEX,15:40:00 -0300
7007,1806,388704,IDA,SAB,15:40:00 -0300
7007,1806,388705,IDA,DOM,15:40:00 -0300
7007,1806,388706,VOLTA,SEG,14:20:00 -0300
7007,1806,388707,VOLTA,TER,14:20:00 -0300
7007,1806,388708,VOLTA,QUA,14:20:00 -0300
7007,1806,388709,VOLTA,QUI,14:20:00 -0300
7007,1806,388710,VOLTA,SEX,14:20:00 -0300
7007,1806,388711,VOLTA,SAB,14:20:00 -0300
7007,1806,388712,VOLTA,DOM,14:20:00 -0300
7007,1806,388713,IDA,SEG,16:20:00 -0300
7007,1806,388714,IDA,TER,16:20:00 -0300
7007,1806,388715,IDA,QUA,16:20:00 -0300
7007,1806,388716,IDA,QUI,16:20:00 -0300
7007,1806,388717,IDA,SEX,16:20:00 -0300
7007,1806,388718,IDA,SAB,16:20:00 -0300
7007,1806,388719,IDA,DOM,16:20:00 -0300
7007,1806,388720,VOLTA,SEG,15:00:00 -0300
7007,1806,388721,VOLTA,TER,15:00:00 -0300
7007,1806,388722,VOLTA,QUA,15:00:00 -0300
7007,1806,388723,VOLTA,QUI,15:00:00 -0300
7007,1806,388724,VOLTA,SEX,15:00:00 -0300
7007,1806,388725,VOLTA,SAB,15:00:00 -0300
7007,1806,388726,VOLTA,DOM,15:00:00 -0300
7007,1806,388727,IDA,SEG,17:00:00 -0300
7007,1806,388728,IDA,TER,17:00:00 -0300
7007,1806,388729,IDA,QUA,17:00:00 -0300
7007,1806,388730,IDA,QUI,17:00:00 -0300
7007,1806,388731,IDA,SEX,17:00:00 -0300
7007,1806,388732,IDA,SAB,17:00:00 -0300
7007,1806,388733,IDA,DOM,17:00:00 -0300
7007,1806,388734,VOLTA,SEG,15:40:00 -0300
7007,1806,388735,VOLTA,TER,15:40:00 -0300
7007,1806,388736,VOLTA,QUA,15:40:00 -0300
7007,1806,388737,VOLTA,QUI,15:40:00 -0300
7007,1806,388738,VOLTA,SEX,15:40:00 -0300
7007,1806,388739,VOLTA,SAB,15:40:00 -0300
7007,1806,388740,VOLTA,DOM,15:40:00 -0300
7007,1806,388741,IDA,SEG,17:40:00 -0300
7007,1806,388742,IDA,TER,17:40:00 -0300
7007,1806,388743,IDA,QUA,17:40:00 -0300
7007,1806,388744,IDA,QUI,17:40:00 -0300
7007,1806,388745,IDA,SEX,17:40:00 -0300
7007,1806,388746,IDA,SAB,17:40:00 -0300
7007,1806,388747,IDA,DOM,17:40:00 -0300
7007,1806,388748,VOLTA,SEG,16:20:00 -0300
7007,1806,388749,VOLTA,TER,16:20:00 -0300
7007,1806,388750,VOLTA,QUA,16:20:00 -0300
7007,1806,388751,VOLTA,QUI,16:20:00 -0300
7007,1806,388752,VOLTA,SEX,16:20:00 -0300
7007,1806,388753,VOLTA,SAB,16:20:00 -0300
7007,1806,388754,VOLTA,DOM,16:20:00 -0300
7007,1806,388755,IDA,SEG,18:20:00 -0300
7007,1806,388756,IDA,TER,18:20:00 -0300
7007,1806,388757,IDA,QUA,18:20:00 -0300
7007,1806,388758,IDA,QUI,18:20:00 -0300
7007,1806,388759,IDA,SEX,18:20:00 -0300
7007,1806,388760,IDA,SAB,18:20:00 -0300
7007,1806,388761,IDA,DOM,18:20:00 -0300
7007,1806,388762,VOLTA,SEG,17:00:00 -0300
7007,1806,388763,VOLTA,TER,17:00:00 -0300
7007,1806,388764,VOLTA,QUA,17:00:00 -0300
7007,1806,388765,VOLTA,QUI,17:00:00 -0300
7007,1806,388766,VOLTA,SEX,17:00:00 -0300
7007,1806,388767,VOLTA,SAB,17:00:00 -0300
7007,1806,388768,VOLTA,DOM,17:00:00 -0300
7007,1806,388769,IDA,SEG,19:00:00 -0300
7007,1806,388770,IDA,TER,19:00:00 -0300
7007,1806,388771,IDA,QUA,19:00:00 -0300
7007,1806,388772,IDA,QUI,19:00:00 -0300
